number,value,params_bb_dev,params_bb_window,params_ema_period,user_attrs_cagr,user_attrs_final_nav,user_attrs_max_dd,user_attrs_n_trades,user_attrs_sharpe,user_attrs_total_ret,user_attrs_vol,user_attrs_win_rate
73,1.4569598499986078,3.25,85,950,0.2966479714851622,211.25853676439635,-0.1509756522895355,51.0,1.4569598499986078,1.1125853676439634,0.1907830265687407,35.294117647058826
74,1.525306237614224,3.0,70,1100,0.33235022592583063,228.44192139031213,-0.16724999928165066,70.0,1.525306237614224,1.2844192139031212,0.20141433443431683,44.285714285714285
75,0.7254494942035233,2.75,60,600,0.14182761511538944,146.49800077812796,-0.20834668918768504,113.0,0.7254494942035233,0.46498000778127957,0.21454507319392452,30.973451327433626
76,1.3851810078686306,3.0,95,750,0.30732306460919556,216.3046744571245,-0.19315106752475034,62.0,1.3851810078686306,1.1630467445712451,0.2092769797793778,35.483870967741936
77,0.9821586310071516,1.75,90,900,0.24085084655213063,186.1308011693665,-0.22316257092387962,130.0,0.9821586310071516,0.8613080116936649,0.2520600283568279,30.0
78,1.4690137126177314,2.75,110,1050,0.35711870962623427,240.8829990426006,-0.21100283733274738,67.0,1.4690137126177314,1.408829990426006,0.22512576180091634,37.3134328358209
79,1.3531994902033768,3.25,85,800,0.26949331288237177,198.77030262361777,-0.1604835058942794,52.0,1.3531994902033768,0.9877030262361777,0.18960853371646183,32.69230769230769
80,0.9252178390124762,3.25,50,700,0.163894010764581,154.79768934660996,-0.1845266874456725,80.0,0.9252178390124762,0.5479768934660996,0.1819247363759931,36.25
81,1.6534064232041468,3.0,80,850,0.36267635685693134,243.7339514390985,-0.15288573993437946,62.0,1.6534064232041468,1.437339514390985,0.19914303250936757,41.935483870967744
82,1.7741533303955268,3.0,75,950,0.40506713867197397,266.2068395926542,-0.14205603632709635,66.0,1.7741533303955268,1.6620683959265419,0.20333464393689032,45.45454545454545
83,1.7741533303955268,3.0,75,950,0.40506713867197397,266.2068395926542,-0.14205603632709635,66.0,1.7741533303955268,1.6620683959265419,0.20333464393689032,45.45454545454545
84,1.4061633635672313,3.0,65,950,0.2996198919274988,212.6555648553425,-0.20579604276583918,77.0,1.4061633635672313,1.126555648553425,0.20068803254226578,37.66233766233766
85,1.4699019301228298,2.75,75,1100,0.33760968285375514,231.04776780173063,-0.16556932140017036,78.0,1.4699019301228298,1.3104776780173064,0.2133782741392619,46.15384615384615
86,1.6341264048668,3.0,90,1000,0.3705851074798039,247.8287996851709,-0.17427087660098833,57.0,1.6341264048668,1.478287996851709,0.20587507980934788,42.10526315789473
87,1.0371473010073422,3.25,55,1200,0.18963711059082078,164.86103088826266,-0.1636511555115179,70.0,1.0371473010073422,0.6486103088826267,0.1836856432276769,35.714285714285715
88,1.187984184143194,2.75,65,950,0.26030447083734054,194.656288821692,-0.21943644103232715,94.0,1.187984184143194,0.9465628882169199,0.2140204071108218,39.361702127659576
89,0.7461091288054879,3.25,100,300,0.14556254059577078,147.88184732142457,-0.2556226547291897,61.0,0.7461091288054879,0.47881847321424575,0.21241355504171838,32.78688524590164
90,1.753356057735124,3.0,75,900,0.3992452241182789,263.0435637357449,-0.14473073904406966,66.0,1.753356057735124,1.630435637357449,0.20338386625971502,45.45454545454545
91,1.753356057735124,3.0,75,900,0.3992452241182789,263.0435637357449,-0.14473073904406966,66.0,1.753356057735124,1.630435637357449,0.20338386625971502,45.45454545454545
92,1.6970011395798694,3.0,75,1050,0.38290800981039874,254.2981759079845,-0.14205603632709807,69.0,1.6970011395798694,1.542981759079845,0.203194295561139,43.47826086956522
93,1.5387163672891833,3.0,70,1050,0.336573832585388,230.5330202169463,-0.16724999928165052,74.0,1.5387163672891833,1.305330202169463,0.20176184346918402,41.891891891891895
94,1.5026379872009248,2.75,75,1000,0.34736179652321875,235.9307260940576,-0.1655203573298571,80.0,1.5026379872009248,1.359307260940576,0.21359565747040749,45.0
95,1.1209754039226005,3.0,60,1100,0.22404784186266524,178.9662636174022,-0.17797821783706508,80.0,1.1209754039226005,0.789662636174022,0.1977885691217774,35.0
96,1.718028243389302,2.75,85,900,0.4155873034917317,271.98562505473603,-0.13926903759478138,74.0,1.718028243389302,1.7198562505473602,0.2158436319960169,41.891891891891895
97,1.7312635609851226,2.75,85,950,0.4192543813056979,274.0190440792643,-0.13042065943924197,74.0,1.7312635609851226,1.740190440792643,0.21566587981043384,41.891891891891895
98,1.5773416840259389,2.75,85,1150,0.3637384716711902,244.28128708174793,-0.15801933512511593,71.0,1.5773416840259389,1.4428128708174794,0.21075276410897142,40.845070422535215
99,1.2516894568114465,2.5,105,900,0.3020047386446614,213.78097372583017,-0.21761618173277236,81.0,1.2516894568114465,1.1378097372583018,0.23243169348770346,34.5679012345679
